date,rainfall_mm,reservoir_m,temp_c,disp_rate_mm_d
2023-02-15,0.0,150.36,6.3,0.168
2023-02-16,0.0,150.15,2.2,0.135
2023-02-17,0.0,149.92,7.7,0.12
2023-02-18,0.0,149.7,3.7,0.133
2023-02-19,1.0,149.46,5.9,0.165
2023-02-20,3.6,149.27,3.8,0.356
2023-02-21,5.9,149.04,3.9,0.622
2023-02-22,0.0,148.85,2.9,0.554
2023-02-23,0.0,148.67,4.4,0.469
2023-02-24,0.0,148.4,4.8,0.409
2023-02-25,0.0,148.23,2.7,0.375
2023-02-26,0.0,148.02,4.1,0.318
2023-02-27,0.0,147.82,3.3,0.279
2023-02-28,1.1,147.62,9.2,0.327
2023-03-01,8.2,147.44,4.5,0.762
2023-03-02,0.0,147.25,7.9,0.646
2023-03-03,0.0,146.99,4.5,0.566
2023-03-04,0.0,146.78,5.5,0.477
2023-03-05,0.0,146.6,2.5,0.415
2023-03-06,0.0,146.38,4.4,0.396
2023-03-07,0.0,146.17,5.8,0.342
2023-03-08,0.0,145.99,8.7,0.291
2023-03-09,0.0,145.82,6.1,0.234
2023-03-10,2.8,145.62,8.5,0.369
2023-03-11,0.0,145.39,7.2,0.341
2023-03-12,3.6,145.17,9.3,0.513
2023-03-13,0.0,144.99,6.1,0.453
2023-03-14,0.0,144.77,11.1,0.382
2023-03-15,7.9,144.57,5.5,0.815
2023-03-16,2.7,144.43,5.1,0.838
2023-03-17,0.0,144.22,4.3,0.701
2023-03-18,0.0,143.99,11.6,0.606
2023-03-19,0.0,143.77,8.7,0.53
2023-03-20,,143.6,6.5,0.447
2023-03-21,0.0,143.39,9.9,0.421
2023-03-22,0.0,143.16,8.9,0.418
2023-03-23,0.0,143.02,11.6,0.315
2023-03-24,0.0,142.85,4.8,0.291
2023-03-25,4.5,142.68,7.5,0.51
2023-03-26,1.9,142.5,7.3,0.544
2023-03-27,5.1,142.32,4.4,0.806
2023-03-28,0.0,142.13,10.7,0.646
2023-03-29,0.0,141.95,8.2,0.567
2023-03-30,4.9,141.81,10.4,0.754
2023-03-31,0.0,141.68,13.8,0.636
2023-04-01,1.8,141.48,8.5,0.624
2023-04-02,0.0,141.31,8.6,0.588
2023-04-03,0.0,141.18,9.9,0.561
2023-04-04,0.0,141.02,11.8,0.439
2023-04-05,0.0,140.83,8.9,0.362
2023-04-06,0.0,140.68,8.9,0.371
2023-04-07,0.0,140.58,12.5,0.302
2023-04-08,2.7,140.48,11.3,0.463
2023-04-09,1.3,140.28,6.7,0.455
2023-04-10,0.0,140.13,8.5,0.377
2023-04-11,0.0,140.0,14.1,0.336
2023-04-12,0.0,139.82,12.1,0.3
2023-04-13,1.8,139.66,10.0,0.358
2023-04-14,0.0,139.46,11.4,0.316
2023-04-15,0.0,139.31,12.0,0.269
2023-04-16,0.0,139.17,13.6,0.224
2023-04-17,0.0,139.01,9.6,0.23
2023-04-18,2.7,138.9,10.9,0.325
2023-04-19,16.0,138.73,13.3,1.223
2023-04-20,0.0,138.61,12.7,1.08
2023-04-21,0.0,138.51,14.3,0.929
2023-04-22,5.9,138.39,10.9,1.147
2023-04-23,0.0,138.26,14.3,0.981
2023-04-24,0.0,138.14,15.9,0.866
2023-04-25,6.9,138.04,14.9,1.14
2023-04-26,0.0,137.91,14.5,0.98
2023-04-27,0.0,137.8,14.2,0.862
2023-04-28,0.0,137.65,12.9,0.751
2023-04-29,0.0,137.56,14.6,0.627
2023-04-30,0.0,137.5,17.5,0.532
2023-05-01,0.0,137.41,15.0,
2023-05-02,0.0,137.33,13.6,
2023-05-03,9.5,137.27,14.6,
2023-05-04,0.0,137.24,16.2,
2023-05-05,1.3,137.16,15.3,
2023-05-06,0.0,137.04,17.2,
2023-05-07,0.0,136.98,17.5,
2023-05-08,5.2,136.84,18.4,0.713
2023-05-09,7.8,136.8,19.7,1.107
2023-05-10,0.0,136.71,19.0,0.917
2023-05-11,3.2,136.66,15.4,0.965
2023-05-12,0.0,136.57,15.7,0.882
2023-05-13,0.0,136.49,17.5,0.782
2023-05-14,0.0,136.42,17.0,0.628
2023-05-15,0.0,136.37,15.8,0.567
2023-05-16,9.8,136.3,17.4,1.061
2023-05-17,0.0,136.26,17.5,0.956
2023-05-18,0.0,136.26,17.3,0.791
2023-05-19,0.0,136.23,18.2,0.65
2023-05-20,11.9,136.18,21.4,1.285
2023-05-21,0.0,136.17,19.6,1.072
2023-05-22,0.0,136.16,24.4,0.951
2023-05-23,,136.12,20.0,0.786
2023-05-24,0.0,136.05,19.2,0.687
2023-05-25,0.0,136.03,20.0,0.539
2023-05-26,27.6,136.07,20.7,2.048
2023-05-27,0.0,136.04,21.2,1.781
2023-05-28,0.0,136.06,24.7,1.517
2023-05-29,0.0,136.03,19.1,1.303
2023-05-30,8.6,136.05,22.6,1.604
2023-05-31,-3.2,136.06,21.5,1.39
2023-06-01,0.0,136.09,18.1,1.169
2023-06-02,14.7,136.14,23.0,1.863
2023-06-03,0.0,136.15,24.2,1.533
2023-06-04,2.9,136.17,20.1,1.515
2023-06-05,0.0,136.18,22.0,1.273
2023-06-06,0.0,136.18,18.7,1.097
2023-06-07,0.0,136.17,19.8,0.961
2023-06-08,0.0,136.2,24.6,0.834
2023-06-09,0.0,136.24,21.7,0.717
2023-06-10,12.8,136.29,20.6,1.347
2023-06-11,0.0,136.34,23.4,1.051
2023-06-12,9.5,136.37,22.0,1.477
2023-06-13,21.3,136.45,22.3,2.448
2023-06-14,0.0,136.52,24.9,2.11
2023-06-15,0.0,136.6,21.2,1.781
2023-06-16,0.0,136.7,21.9,1.56
2023-06-17,0.0,136.78,24.1,1.311
2023-06-18,,136.86,25.9,1.095
2023-06-19,0.0,136.89,26.6,0.957
2023-06-20,0.0,136.97,22.9,0.797
2023-06-21,0.0,137.02,26.2,0.693
2023-06-22,4.2,137.09,22.9,0.841
2023-06-23,0.0,137.18,28.3,0.733
2023-06-24,10.7,137.29,22.5,1.269
2023-06-25,2.6,137.39,27.5,1.236
2023-06-26,0.0,137.48,23.7,1.016
2023-06-27,0.0,137.58,29.1,0.854
2023-06-28,0.0,137.67,26.4,0.704
2023-06-29,0.0,137.76,23.3,0.585
2023-06-30,0.0,137.84,24.4,0.475
2023-07-01,0.0,137.92,27.1,0.409
2023-07-02,0.0,138.06,27.7,0.406
2023-07-03,0.0,138.16,25.6,0.344
2023-07-04,0.0,138.26,25.9,0.316
2023-07-05,0.0,138.36,27.4,0.273
2023-07-06,0.0,138.45,26.2,0.246
2023-07-07,6.1,138.54,23.5,0.574
2023-07-08,0.0,138.69,24.5,0.462
2023-07-09,13.7,138.85,26.7,1.21
2023-07-10,0.0,138.97,28.7,1.008
2023-07-11,2.6,139.1,29.6,1.042
2023-07-12,16.0,139.25,28.0,1.778
2023-07-13,0.0,139.37,27.0,1.479
2023-07-14,17.5,139.5,28.0,2.304
2023-07-15,9.5,139.64,25.3,2.568
2023-07-16,0.0,139.81,26.3,2.17
2023-07-17,0.0,139.95,25.0,1.829
2023-07-18,15.5,140.12,24.2,2.475
2023-07-19,0.0,140.26,27.4,2.095
2023-07-20,0.0,140.44,27.2,1.782
2023-07-21,0.0,140.6,28.2,1.546
2023-07-22,0.0,140.76,28.0,1.337
2023-07-23,8.0,140.96,27.4,1.539
2023-07-24,8.2,141.12,28.0,1.795
2023-07-25,10.5,141.27,26.9,2.097
2023-07-26,7.3,141.43,27.8,2.205
2023-07-27,0.0,141.63,25.5,1.893
2023-07-28,9.8,141.8,27.7,2.084
2023-07-29,0.0,141.92,28.3,1.821
2023-07-31,0.0,142.29,27.1,1.262
2023-07-30,0.0,142.09,25.7,1.453
2023-08-01,0.9,142.49,25.7,1.078
2023-08-02,0.0,142.67,25.9,0.938
2023-08-03,0.0,142.84,24.7,0.773
2023-08-04,0.0,143.05,29.5,0.697
2023-08-05,9.9,143.28,29.1,1.145
2023-08-06,9.6,143.47,28.0,1.537
2023-08-07,0.0,143.65,30.8,1.311
2023-08-08,0.0,143.87,26.5,1.073
2023-08-09,,144.02,32.9,0.899
2023-08-10,0.0,144.19,26.3,0.718
2023-08-11,0.0,144.37,27.3,0.587
2023-08-12,0.0,144.59,25.9,0.542
2023-08-13,0.0,144.79,27.4,0.403
2023-08-14,0.0,145.01,28.3,0.381
2023-08-15,24.3,145.25,26.3,1.682
2023-08-16,0.0,145.48,30.1,1.47
2023-08-17,0.0,145.68,26.9,1.243
2023-08-18,2.1,145.92,26.9,1.223
2023-08-19,4.3,146.16,24.5,1.276
2023-08-20,0.0,146.35,27.1,1.116
2023-08-21,0.0,146.55,25.9,0.883
2023-08-22,0.0,146.76,24.9,0.736
2023-08-23,0.0,146.99,24.5,0.616
2023-08-24,0.0,147.18,31.3,0.544
2023-08-25,0.0,147.35,25.3,0.475
2023-08-26,0.0,147.55,22.8,0.405
2023-08-27,15.8,147.77,24.3,1.238
2023-08-28,13.6,147.98,25.5,1.825
2023-08-29,0.0,148.22,26.6,1.539
2023-08-30,0.0,148.46,26.5,1.338
2023-08-31,7.6,148.68,26.6,1.505
2023-09-01,0.0,148.85,23.9,1.247
2023-09-02,0.0,149.07,25.7,1.07
2023-09-03,0.0,149.29,23.2,0.97
2023-09-04,0.0,149.51,23.6,0.773
2023-09-05,0.0,149.68,22.8,0.685
2023-09-06,0.0,149.89,22.2,0.599
2023-09-07,0.0,150.1,26.6,0.521
2023-09-08,0.0,150.29,25.7,0.411
2023-09-09,0.0,150.51,26.1,0.38
2023-09-10,0.0,150.69,24.1,0.304
2023-09-11,5.2,150.91,25.4,0.639
2023-09-12,4.2,151.1,20.2,0.651
2023-09-13,0.0,151.3,25.3,0.511
2023-09-14,0.0,151.51,23.8,0.44
2023-09-15,18.2,151.74,24.6,1.404
2023-09-16,17.7,151.92,23.9,2.227
2023-09-17,0.0,152.07,21.0,1.927
2023-09-18,10.7,152.24,19.9,2.205
2023-09-19,0.0,152.41,21.3,1.865
2023-09-20,0.0,152.57,23.7,1.571
2023-09-21,2.6,152.78,23.8,1.522
2023-09-22,0.0,152.94,19.5,1.299
2023-09-23,3.5,153.1,20.1,1.305
2023-09-24,0.0,153.24,20.4,1.133
2023-09-25,18.9,153.42,21.0,2.044
2023-09-26,2.8,153.63,18.8,1.902
2023-09-27,4.3,153.81,18.5,1.836
2023-09-28,7.0,153.97,19.5,1.931
2023-09-29,1.0,154.15,21.2,1.737
2023-09-30,1.4,154.33,18.5,1.552
2023-10-01,0.0,154.5,20.4,1.267
2023-10-02,0.0,154.69,22.6,1.01
2023-10-03,0.0,154.85,17.7,0.824
2023-10-04,0.0,155.02,19.7,0.657
2023-10-05,0.0,155.14,22.0,0.575
2023-10-06,0.0,155.31,18.9,0.487
2023-10-07,0.0,155.51,18.4,0.443
2023-10-08,5.4,155.69,21.7,0.685
2023-10-09,9.4,155.9,18.5,1.124
2023-10-10,8.9,156.06,21.2,1.455
2023-10-11,14.9,156.21,19.6,2.004
2023-10-12,0.0,156.38,17.9,1.718
2023-10-13,0.0,156.53,19.3,1.437
2023-10-14,15.7,156.69,18.8,2.083
2023-10-15,0.0,156.84,20.0,1.801
2023-10-16,0.0,156.97,16.7,1.508
2023-10-17,9.3,157.12,17.6,1.806
2023-10-18,0.0,157.25,17.2,1.529
2023-10-19,5.1,157.4,18.6,1.621
2023-10-20,0.0,157.52,14.9,1.396
2023-10-21,3.5,157.65,18.8,1.368
2023-10-22,0.0,157.76,17.5,1.195
2023-10-23,0.0,157.9,13.7,0.96
2023-10-24,0.0,158.05,18.6,0.83
2023-10-25,0.0,158.2,20.4,0.671
2023-10-26,0.0,158.27,17.7,0.525
2023-10-27,0.0,158.36,18.4,0.449
2023-10-28,0.0,158.48,15.5,0.344
2023-10-29,10.2,158.57,11.8,0.87
2023-10-30,0.0,158.68,11.2,0.686
2023-10-31,0.0,158.79,15.2,0.548
2023-11-01,0.0,158.89,13.3,0.489
2023-11-02,0.0,159.0,12.4,0.414
2023-11-03,0.0,159.1,13.9,0.327
2023-11-04,0.0,159.2,15.1,0.256
2023-11-05,2.5,159.27,10.8,0.404
2023-11-06,0.8,159.34,12.6,0.385
2023-11-07,0.0,159.41,16.3,0.32
2023-11-08,0.0,159.46,10.9,0.258
2023-11-09,6.3,159.56,14.6,0.586
2023-11-10,0.0,159.61,11.7,0.491
2023-11-11,0.0,159.69,13.5,0.416
2023-11-12,0.0,159.73,14.4,0.354
2023-11-13,0.0,159.74,13.5,0.311
2023-11-14,0.0,159.8,13.7,0.215
2023-11-15,0.0,159.89,9.3,0.174
2023-11-16,0.0,159.95,13.7,0.183
2023-11-17,0.0,159.95,9.5,0.161
2023-11-18,0.0,159.97,11.6,0.171
2023-11-19,0.0,160.02,11.4,0.108
2023-11-20,0.0,160.03,11.6,0.113
2023-11-21,0.0,160.02,11.1,0.091
2023-11-22,0.0,160.05,8.6,0.068
2023-11-23,0.0,160.07,7.4,0.082
2023-11-24,0.0,160.06,11.6,0.077
2023-11-25,0.0,160.05,10.1,0.036
2023-11-26,0.0,160.06,11.8,0.025
2023-11-27,0.0,160.06,9.3,0.023
2023-11-28,6.5,160.09,6.4,0.373
2023-11-29,0.0,160.07,10.9,0.329
2023-11-30,0.0,160.06,8.1,0.285
2023-12-01,0.5,160.04,9.3,0.264
2023-12-02,0.0,160.02,7.2,0.257
2023-12-03,2.8,160.02,11.6,0.4
2023-12-04,0.0,159.99,6.4,0.306
2023-12-05,2.1,159.92,7.3,0.405
2023-12-06,0.0,159.89,8.0,0.323
2023-12-07,0.9,159.89,5.4,0.34
2023-12-08,0.0,159.86,8.1,0.285
2023-12-09,0.0,159.8,10.5,0.271
2023-12-10,0.0,159.76,6.2,0.211
2023-12-11,0.0,159.75,7.8,0.216
2023-12-12,0.0,159.67,1.3,0.166
2023-12-13,0.0,159.6,6.6,0.138
2023-12-14,1.6,159.54,5.9,0.171
2023-12-15,0.0,159.52,4.8,0.176
2023-12-16,3.3,159.41,8.4,0.356
2023-12-17,0.0,159.36,5.5,0.295
2023-12-18,2.8,159.25,5.6,0.458
2023-12-19,0.0,159.16,5.1,0.373
2023-12-20,0.0,159.07,1.9,0.292
2023-12-21,0.0,158.96,3.3,0.244
2023-12-22,0.0,158.88,7.4,0.227
2023-12-23,0.0,158.78,1.1,0.17
2023-12-24,0.0,158.67,3.7,0.188
2023-12-25,0.0,158.61,4.3,0.153
2023-12-26,0.0,158.53,8.5,0.135
2023-12-27,0.0,158.44,6.4,0.129
2023-12-28,3.0,158.34,3.6,0.307
2023-12-29,0.8,158.22,7.3,0.284
2023-12-30,0.3,158.14,3.1,0.255
2023-12-31,0.0,158.04,6.5,0.255
2024-01-01,0.0,157.94,1.6,0.202
2024-01-02,0.0,157.82,6.4,0.155
2024-01-03,0.0,157.71,3.3,0.132
2024-01-04,0.0,157.56,2.0,0.122
2024-01-05,0.0,157.43,3.6,0.114
2024-01-06,0.0,157.3,4.5,0.071
2024-01-07,2.4,157.23,2.8,0.196
2024-01-08,0.0,157.11,4.9,0.181
2024-01-09,0.0,157.0,2.5,0.157
2024-01-10,1.8,156.89,4.9,0.245
2024-01-11,2.2,156.74,4.4,0.362
2024-01-12,0.0,156.61,3.4,0.301
2024-01-13,0.0,156.48,2.6,0.257
2024-01-14,0.0,156.3,3.7,0.195
2024-01-15,0.0,156.15,4.4,0.183
2024-01-16,0.0,155.99,7.4,0.183
2024-01-17,0.0,155.81,5.1,0.165
2024-01-18,0.0,155.67,5.2,0.123
2024-01-19,0.0,155.49,9.3,0.128
2024-01-20,0.0,155.3,4.2,0.158
2024-01-21,0.0,155.13,4.1,0.104
2024-01-22,0.0,154.99,4.5,0.083
2024-01-23,0.0,154.81,1.0,0.077
2024-01-24,0.5,154.66,2.2,0.106
2024-01-25,,154.51,2.0,0.094
2024-01-26,0.0,154.34,4.3,0.083
2024-01-27,0.7,154.12,2.7,0.082
2024-01-28,0.0,153.96,3.3,0.083
2024-01-29,0.0,153.76,5.2,0.093
2024-01-30,,153.59,4.7,0.124
2024-01-31,0.0,153.38,2.7,0.106
2024-02-01,0.0,153.18,1.7,0.106
2024-02-02,0.0,153.02,5.3,0.103
2024-02-03,0.0,152.85,4.6,0.114
2024-02-04,0.0,152.61,-0.1,0.09
2024-02-05,0.0,152.41,2.5,7.375
2024-02-06,0.0,152.23,3.5,0.073
2024-02-07,0.0,152.04,4.7,0.093
2024-02-08,5.3,151.84,5.0,0.389
2024-02-09,0.0,151.64,3.8,0.35
2024-02-10,0.0,151.46,4.4,0.307
2024-02-11,0.0,151.23,3.4,0.271
2024-02-12,0.0,151.01,2.0,0.226
2024-02-13,3.0,150.79,2.9,0.382
2024-02-14,0.0,150.6,3.5,0.352
2024-02-15,0.0,150.36,3.5,0.277
2024-02-16,0.0,150.15,-0.2,0.245
2024-02-17,4.7,149.93,2.9,0.498
2024-02-18,0.0,149.71,3.8,0.44
2024-02-19,2.2,149.48,3.2,0.487
2024-02-20,1.4,149.28,3.4,0.515
2024-02-21,3.7,149.07,4.9,0.659
2024-02-22,0.0,148.85,1.9,0.53
2024-02-23,2.1,148.65,0.9,0.616
2024-02-24,0.0,148.46,3.5,0.514
2024-02-25,0.0,148.26,5.8,0.449
2024-02-26,2.7,148.06,7.8,0.578
2024-02-27,3.4,147.82,6.1,0.649
2024-02-28,1.1,147.64,1.7,0.63
2024-02-29,0.0,147.43,4.2,0.498
2024-03-01,0.0,147.2,5.3,0.471
2024-03-02,0.7,147.0,5.3,0.452
2024-03-03,0.0,146.83,6.1,0.394
2024-03-04,3.4,146.65,3.3,0.55
2024-03-05,0.0,146.42,5.4,0.48
2024-03-06,0.0,146.24,6.2,0.399
2024-03-07,0.0,146.06,7.2,0.338
2024-03-08,0.0,145.83,4.0,0.312
2024-03-09,0.0,145.63,5.1,0.261
2024-03-10,0.7,145.44,0.5,0.253
2024-03-11,7.4,145.28,4.8,0.627
2024-03-12,2.7,145.11,5.1,0.719
2024-03-13,0.0,144.9,4.3,0.637
2024-03-14,0.0,144.69,6.8,0.574
2024-03-15,0.0,144.51,6.5,0.46
2024-03-16,0.0,144.28,2.2,0.39
2024-03-17,1.6,144.1,7.3,0.426
2024-03-18,0.0,143.92,5.2,0.405
2024-03-19,1.1,143.69,8.2,0.378
2024-03-20,10.9,143.48,4.8,0.982
2024-03-21,0.0,143.32,7.6,0.856
2024-03-22,0.0,143.13,7.1,0.738
2024-03-23,0.0,142.95,8.5,0.631
2024-03-24,5.0,142.73,8.3,0.85
2024-03-25,0.0,142.56,7.7,0.732
2024-03-26,0.8,142.42,5.3,0.66
2024-03-27,0.0,142.22,5.6,0.596
2024-03-28,0.0,142.02,7.6,0.472
2024-03-29,11.2,141.87,8.9,1.073
2024-03-30,11.0,141.68,7.9,1.493
2024-03-31,14.6,141.49,10.5,2.179
2024-04-01,0.0,141.29,8.9,1.876
2024-04-02,0.0,141.13,7.7,1.58
2024-04-03,0.0,140.95,9.3,1.37
2024-04-04,0.0,140.77,10.4,1.178
2024-04-05,0.0,140.62,10.8,0.95
2024-04-06,4.8,140.43,14.1,1.117
2024-04-07,0.0,140.26,9.2,0.941
2024-04-08,0.0,140.12,10.6,0.818
2024-04-09,0.0,139.95,11.8,0.724
2024-04-10,0.0,139.77,11.1,0.633
2024-04-11,0.0,139.63,10.3,0.522
2024-04-12,0.0,139.45,8.4,0.458
2024-04-13,9.0,139.31,10.7,0.919
2024-04-14,0.0,139.16,9.8,0.777
2024-04-15,0.0,138.98,8.7,0.599
2024-04-16,0.0,138.86,10.7,0.49
2024-04-17,27.0,138.78,10.4,1.976
2024-04-18,6.0,138.62,13.9,2.022
2024-04-19,14.6,138.51,14.1,2.588
2024-04-20,0.0,138.38,11.3,2.195
2024-04-21,0.0,138.27,12.8,1.884
2024-04-22,0.0,138.17,9.8,1.584
2024-04-23,0.0,138.08,12.8,1.401
2024-04-24,0.0,137.94,14.8,1.176
2024-04-25,0.0,137.83,15.8,1.038
2024-04-26,3.8,137.75,13.0,1.107
2024-04-27,0.0,137.65,16.7,0.94
2024-04-28,0.0,137.57,11.8,0.823
2024-04-29,4.2,137.48,12.5,0.956
2024-04-30,0.0,137.37,16.6,0.812
2024-05-01,0.0,137.27,18.8,0.685
2024-05-02,4.8,137.16,16.6,0.894
2024-05-03,0.0,137.08,15.7,0.657
2024-05-04,0.0,137.01,11.6,0.623
2024-05-05,0.0,136.91,12.2,0.434
2024-05-06,0.0,136.81,16.7,0.375
2024-05-07,0.0,136.7,15.9,0.372
2024-05-08,0.0,136.63,14.6,0.274
2024-05-09,0.0,136.55,17.2,0.285
2024-05-10,0.0,136.51,17.5,0.299
2024-05-11,0.0,136.46,19.4,0.237
2024-05-12,0.0,136.39,17.9,0.172
2024-05-13,0.0,136.33,20.3,0.187
2024-05-14,0.0,136.31,18.1,0.213
2024-05-15,0.0,138.74,18.0,0.165
2024-05-16,0.0,138.7,20.6,0.136
2024-05-17,0.0,138.64,16.7,0.135
2024-05-18,0.0,138.6,24.5,0.114
2024-05-19,0.0,138.6,19.8,0.133
2024-05-20,0.0,138.6,20.0,0.152
2024-05-21,0.0,138.57,20.5,0.147
2024-05-22,0.0,138.58,23.4,0.135
2024-05-23,0.0,138.52,21.4,0.099
2024-05-24,2.2,138.49,16.8,0.222
2024-05-25,16.6,138.5,23.0,1.183
2024-05-26,0.0,138.51,19.7,0.989
2024-05-27,9.7,138.54,20.8,1.427
2024-05-28,0.0,138.53,18.2,1.242
2024-05-29,0.0,138.53,22.0,1.047
2024-05-30,4.6,138.51,19.8,1.17
2024-05-31,0.0,138.5,21.5,1.029
2024-06-01,0.0,138.51,20.9,0.905
2024-06-02,5.4,138.53,25.5,1.109
2024-06-03,0.0,138.56,25.8,0.956
2024-06-04,0.0,138.58,22.1,0.822
2024-06-05,0.0,138.6,22.3,0.702
2024-06-06,9.9,138.66,21.6,1.165
2024-06-07,0.0,138.66,24.7,1.017
2024-06-08,3.6,138.68,22.0,1.105
2024-06-09,0.0,138.71,21.9,0.949
2024-06-10,0.0,138.75,24.9,0.707
2024-06-11,0.0,138.78,22.0,0.64
2024-06-12,0.0,138.88,23.2,0.559
2024-06-13,0.0,138.95,20.2,0.475
2024-06-14,0.0,139.0,24.9,0.392
2024-06-15,0.0,139.04,27.6,0.403
2024-06-16,0.0,139.08,25.3,0.321
2024-06-17,0.0,139.17,26.9,0.299
2024-06-18,10.5,139.26,22.4,0.844
2024-06-19,4.0,139.33,24.7,0.951
2024-06-20,0.0,139.4,22.5,0.818
2024-06-21,2.0,139.47,24.0,0.882
2024-06-22,19.7,139.55,26.2,1.83
2024-06-23,0.0,139.66,24.9,1.572
2024-06-24,0.0,139.79,22.0,1.337
2024-06-25,0.0,139.87,22.3,1.124
2024-06-26,0.0,139.96,22.3,1.016
2024-06-27,0.0,140.07,26.2,0.842
2024-06-28,13.7,140.15,29.4,1.532
2024-06-29,0.0,140.28,28.1,1.282
2024-06-30,0.0,140.41,21.7,1.094
2024-07-01,1.2,140.55,28.5,1.055
2024-07-02,0.0,140.67,27.6,0.892
2024-07-03,0.0,140.75,22.7,0.75
2024-07-04,0.0,140.91,25.3,0.655
2024-07-05,8.1,141.06,28.2,1.049
2024-07-06,17.2,141.2,27.2,1.876
2024-07-07,0.0,141.28,23.5,1.575
2024-07-08,16.2,141.42,27.4,2.194
2024-07-09,8.3,141.57,22.0,2.372
2024-07-10,,141.7,25.9,2.04
2024-07-11,0.0,141.86,28.7,1.725
2024-07-12,,142.02,26.5,1.489
2024-07-13,0.0,142.14,25.5,1.287
2024-07-14,4.5,142.28,28.4,1.314
2024-07-15,10.1,142.43,28.6,1.692
2024-07-16,0.0,142.55,29.3,1.454
2024-07-17,0.0,142.71,28.5,1.277
2024-07-18,0.0,142.91,28.9,1.101
2024-07-19,0.0,143.05,28.3,0.941
2024-07-20,0.0,143.18,27.4,0.842
2024-07-21,16.0,143.3,27.1,1.569
2024-07-22,0.0,143.5,26.4,1.315
2024-07-23,0.0,143.69,24.5,1.116
2024-07-24,0.0,143.86,25.0,0.952
2024-07-25,0.0,144.04,26.4,0.71
2024-07-26,0.0,144.23,27.5,0.624
2024-07-27,0.0,144.43,29.9,0.566
2024-07-28,0.0,144.6,26.9,0.496
2024-07-29,0.0,144.76,29.0,0.469
2024-07-30,0.0,145.0,29.2,0.347
2024-07-31,0.0,145.18,26.5,0.296
2024-08-01,0.0,145.36,28.2,0.274
2024-08-02,0.0,145.54,26.5,0.241
2024-08-03,0.0,145.7,29.6,0.188
2024-08-04,0.0,145.92,28.2,0.218
2024-08-05,10.3,146.13,24.5,0.786
2024-08-06,0.0,146.34,27.2,0.605
2024-08-07,0.0,146.53,30.2,0.522
2024-08-08,0.0,146.74,26.5,0.458
2024-08-09,4.8,146.95,27.7,0.668
2024-08-10,0.0,147.18,27.8,0.595
2024-08-11,5.7,147.35,24.6,0.834
2024-08-12,13.0,147.52,27.7,1.441
2024-08-13,0.0,147.71,23.8,1.231
2024-08-14,0.0,147.92,25.3,1.061
2024-08-15,0.0,148.11,28.7,0.932
2024-08-16,0.0,148.3,27.2,0.8
2024-08-17,10.2,148.5,25.8,1.275
2024-08-18,12.5,148.73,27.2,1.809
2024-08-19,0.0,148.9,26.1,1.529
2024-08-20,0.0,149.11,26.2,1.352
2024-08-21,0.0,149.31,27.4,1.087
2024-08-22,0.0,149.52,24.6,0.931
2024-08-23,0.0,149.73,26.0,0.82
2024-08-24,0.0,149.91,25.2,0.663
2024-08-25,0.0,150.14,22.6,0.57
2024-08-26,0.0,150.36,23.8,0.529
2024-08-27,0.0,150.53,28.7,0.385
2024-08-28,0.0,150.72,26.2,0.335
2024-08-29,0.0,150.93,22.7,0.307
